date,mean_temperature,max_temperature,min_temperature
2005-03-29,23.454166666666662,23.45416666666667,23.45416666666667
2005-03-30,24.733333333333338,24.73333333333333,24.73333333333333
2005-03-31,24.458333333333332,24.458333333333332,24.458333333333332
2005-04-01,24.939583333333342,24.939583333333335,24.939583333333335
2005-04-02,25.049999999999997,25.049999999999997,25.049999999999997
2005-04-03,24.391666666666655,24.391666666666666,24.391666666666666
2005-04-04,24.1125,24.1125,24.1125
2005-04-05,24.2625,24.2625,24.2625
2005-04-06,22.566666666666666,22.566666666666666,22.566666666666666
2005-04-07,20.785416666666666,20.785416666666666,20.785416666666666
2005-04-08,20.80624999999999,20.806250000000002,20.806250000000002
2005-04-09,20.470833333333317,20.47083333333333,20.47083333333333
2005-04-10,20.958333333333318,20.95833333333333,20.95833333333333
2005-04-11,21.074999999999992,21.075,21.075
2005-04-12,21.99374999999999,21.993750000000002,21.993750000000002
2005-04-13,22.908333333333346,22.908333333333335,22.908333333333335
2005-04-14,23.82083333333333,23.820833333333336,23.820833333333336
2005-04-15,22.58125,22.581249999999997,22.581249999999997
2005-04-16,21.035416666666666,21.035416666666666,21.035416666666666
2005-04-17,20.722916666666663,20.722916666666663,20.722916666666663
2005-04-18,21.78750000000001,21.787499999999994,21.787499999999994
2005-04-19,22.63125000000001,22.631249999999994,22.631249999999994
2005-04-20,22.081250000000008,22.08125,22.08125
2005-04-21,22.82083333333333,22.820833333333336,22.820833333333336
2005-04-22,21.856249999999992,21.85625,21.85625
2005-04-23,22.06875000000001,22.068749999999994,22.068749999999994
2005-04-24,22.21249999999999,22.212499999999995,22.212499999999995
2005-04-25,24.172916666666655,24.172916666666666,24.172916666666666
2005-04-26,23.80624999999998,23.80624999999999,23.80624999999999
2005-04-27,24.004166666666663,24.004166666666663,24.004166666666663
2005-04-28,22.783333333333317,22.78333333333333,22.78333333333333
2005-04-29,22.622916666666654,22.622916666666665,22.622916666666665
2005-04-30,22.043749999999992,22.04375,22.04375
2005-05-01,21.624999999999996,21.624999999999996,21.624999999999996
2005-05-02,22.035416666666663,22.035416666666663,22.035416666666663
2005-05-03,21.799999999999997,21.799999999999994,21.799999999999994
2005-05-04,22.331249999999997,22.331249999999994,22.331249999999994
2005-05-05,22.435416666666654,22.435416666666665,22.435416666666665
2005-05-06,21.645833333333318,21.645833333333325,21.645833333333325
2005-05-07,19.78958333333333,19.789583333333336,19.789583333333336
2005-05-08,19.58749999999999,19.5875,19.5875
2005-05-09,20.266666666666662,20.26666666666667,20.26666666666667
2005-05-10,22.341666666666683,22.34166666666667,22.34166666666667
2005-05-11,22.42708333333333,22.427083333333332,22.427083333333332
2005-05-12,20.752083333333317,20.75208333333333,20.75208333333333
2005-05-13,24.777777777777782,24.77777777777778,24.77777777777778
2005-05-14,23.149999999999995,27.0,19.7
2005-05-15,23.704166666666666,27.1,21.4
2005-05-16,23.158333333333335,26.6,20.6
2005-05-17,21.88333333333333,24.5,18.7
2005-05-18,21.27916666666667,22.2,20.6
2005-05-19,21.25253623188406,21.947826086956525,18.6
2005-05-20,20.783333333333346,20.783333333333335,20.783333333333335
2005-05-21,22.283333333333346,22.283333333333335,22.283333333333335
2005-05-22,21.839583333333334,21.839583333333326,21.839583333333326
2005-05-23,21.685416666666654,21.685416666666665,21.685416666666665
2005-05-24,18.583333333333332,21.7,16.1
2005-05-25,20.208333333333336,23.3,18.4
2005-05-26,15.564393939393943,20.3,11.6
2005-05-27,17.612499999999997,22.9,12.5
2005-05-28,20.366666666666667,24.4,17.2
2005-05-29,21.729166666666668,25.4,17.5
2005-05-30,20.974999999999998,26.2,17.7
2005-05-31,20.30054347826086,20.917391304347827,17.6
2005-06-01,21.77536231884058,25.3,19.1
2005-06-02,23.070833333333336,25.3,21.5
2005-06-03,23.254166666666663,25.7,21.8
2005-06-04,23.42083333333333,25.8,22.3
2005-06-05,22.72083333333333,26.7,19.5
2005-06-06,21.720833333333335,25.7,17.7
2005-06-07,21.429166666666664,25.4,17.3
2005-06-08,21.4875,26.2,17.2
2005-06-09,20.254166666666666,25.6,15.9
2005-06-10,21.554166666666664,25.5,17.7
2005-06-11,22.46666666666667,26.3,19.7
2005-06-12,22.441666666666666,25.2,20.2
2005-06-13,21.895833333333332,25.0,19.6
2005-06-14,20.735714285714277,23.4,19.6
2005-06-15,20.078571428571426,20.07857142857143,20.07857142857143
2005-06-16,21.2,25.6,19.0
2005-06-17,19.041666666666668,20.3,17.9
2005-06-18,19.412500000000005,22.6,17.3
2005-06-19,19.037499999999998,22.5,15.5
2005-06-20,17.44166666666667,18.5,16.1
2005-06-21,14.10434782608695,15.6,11.7
2005-06-22,13.991666666666667,19.9,8.5
2005-06-23,17.64166666666667,23.1,14.6
